"foldchange","rawpvalue","probename","adjpvalue","expression"
1.44336121773248,0.000716395586851084,"TAC1",3.14484709816098,"Upregulated"
2.0206575616824,3.61939970488245e-05,"GSC2",4.44136345335508,"Upregulated"
1.54808593051666,0.00129877287508619,"IGSF9",2.88646679020573,"Upregulated"
1.71998256843743,9.46156280784727e-05,"TBL1Y",4.02403712334791,"Upregulated"
1.1047123912114,0.000425638016958312,"ITIH6",3.37095958884776,"Upregulated"
1.56458575473365,0.0100798458235016,"PPP1R17",1.99654611060027,"Upregulated"
1.3117827716098,0.0404422629872453,"DAO",1.39316455101932,"Upregulated"
1.70050006810584,0.0012902710264917,"BTN1A1",2.88931905485835,"Upregulated"
1.86898159366623,0.000174582345840091,"FOXP2",3.757999675246,"Upregulated"
2.07960621479463,0.00436056461313392,"FOXA1",2.36045727392114,"Upregulated"
1.12768180421034,0.000413588704889524,"QRSL1",3.38343133033755,"Upregulated"
2.87258053874093,0.00112896237378868,"IRS4",2.94732053205931,"Upregulated"
3.13275916092842,0.0061360647238768,"IGFBPL1",2.21211006804958,"Upregulated"
1.96222141138374,0.00160961692054082,"ABCC12",2.79327747122973,"Upregulated"
1.52520283875558,9.51198526568574e-05,"IGLON5",4.02172883112237,"Upregulated"
1.32508367340846,0.00879977439612669,"GDF7",2.05552846191497,"Upregulated"
1.11409840712324,0.0053410153542864,"TIAM2",2.27237617352454,"Upregulated"
4.27652163927093,0.0262489755989105,"TRIM48",1.58088764084551,"Upregulated"
2.57765875801125,9.7981481238125e-05,"CLGN",4.00885599936957,"Upregulated"
1.88309003972132,0.036630076863,"SEMA3D",1.43616217002937,"Upregulated"
3.59629285374664,0.000285129663956926,"NEUROD1",3.54495759776373,"Upregulated"
1.90783176222161,3.35646349151582e-06,"TLX3",5.47411807230431,"Upregulated"
1.7392373106832,0.0150700008074104,"FREM1",1.82188672441703,"Upregulated"
1.24682211840639,0.000895079124842295,"PNOC",3.0481385714288,"Upregulated"
3.05026962619963,0.0248567328073492,"GBX2",1.60455595602373,"Upregulated"
2.65923272380577,0.00112792956990792,"NR0B1",2.94771801768894,"Upregulated"
1.95565650199913,0.00072791049633725,"HOXD4",3.13792201812724,"Upregulated"
1.52188768543714,0.0181702926076193,"SLN",1.7406380789192,"Upregulated"
4.99664629055897,7.72506339750135e-06,"IRX1",5.11209794775141,"Upregulated"
3.53126337121351,4.61508164672898e-05,"IRX2",4.33582061134225,"Upregulated"
2.47036452891014,0.00346586661378467,"GOLGA6L2",2.46018815541667,"Upregulated"
1.29782522528417,0.00147535430156743,"BEND3",2.83110367274457,"Upregulated"
1.72220495946147,0.00502589979562522,"FOXE1",2.29878617444636,"Upregulated"
1.03696184770566,0.0445012554657916,"SLC25A21",1.35162773656571,"Upregulated"
1.32275781719521,0.00933430691896866,"PCP4",2.02991792328983,"Upregulated"
1.0993308165187,0.000195799588472675,"SRY",3.70818822532264,"Upregulated"
3.24187544156836,1.27563112854253e-05,"ENSG00000185275",4.89427489144436,"Upregulated"
3.78344439073554,5.77863891508268e-05,"ENSG00000186493",4.23817444207739,"Upregulated"
3.0914782651021,0.0125546899871385,"RTP5",1.9011940068489,"Upregulated"
2.07033487529546,0.00206193976725639,"ENSG00000197083",2.68572402534263,"Upregulated"
2.57916049211251,6.16597197095174e-07,"ZNF695",6.20999845380488,"Upregulated"
2.21738388892176,0.0028631142572862,"ZNF560",2.54316132039657,"Upregulated"
2.18773393274563,0.00110374164637409,"DLL1",2.95713257034291,"Upregulated"
2.65671949726846,0.000126867860359091,"SMOC1",3.89664838449756,"Upregulated"
2.35125262715561,0.00429632549986829,"TRIM71",2.36690282287611,"Upregulated"
1.13449283975614,0.00204959480891726,"PLIN5",2.6883319875513,"Upregulated"
2.66866490724723,0.000365043513568175,"HMX1",3.43765536410191,"Upregulated"
1.8660638730293,0.0330538136649186,"ENSG00000223528",1.48077842549516,"Upregulated"
1.51682925317627,0.0431026030186552,"ENSG00000223812",1.36549650147495,"Upregulated"
1.27846348455575,0.000596387236163014,"ENSG00000228886",3.22447165985903,"Upregulated"
2.66551052881625,0.012030225170089,"LINC02526",1.91972624388111,"Upregulated"
1.75115142792301,0.000227803868171701,"ZNF492",3.64243890575577,"Upregulated"
1.6363930215258,0.0144952824213091,"ENSG00000230699",1.83877331857589,"Upregulated"
1.33608362064343,0.000268375588462825,"PIK3CD.AS2",3.57125699028414,"Upregulated"
1.75297431814722,0.00177932799993466,"ENSG00000233941",2.74974398703049,"Upregulated"
1.28407977740032,9.50823971895771e-05,"ENSG00000234354",4.02189987750043,"Upregulated"
2.29514668619328,0.00130873052081316,"LINC02532",2.88314976931793,"Upregulated"
2.68480372510381,0.0106124104979917,"HAND2.AS1",1.9741859594469,"Upregulated"
1.09188632372746,0.000194105456888822,"ENSG00000237759",3.71196225511452,"Upregulated"
1.53417111326268,0.00331060897400481,"ENSG00000237863",2.48009211204787,"Upregulated"
1.14728746834262,5.9803105896733e-05,"PWP2",4.22327626017907,"Upregulated"
1.86302991245126,0.000329664441586891,"ENSG00000242021",3.48192789439588,"Upregulated"
3.18358861908183,0.00264526206231398,"SLCO5A1.AS1",2.57753129656676,"Upregulated"
1.07570232465075,0.0467383766790177,"LINC02899",1.33032637563202,"Upregulated"
2.32985123550346,0.00114709490988687,"HOXA10.AS",2.9404006473691,"Upregulated"
1.70195500086539,0.00768560359910872,"ENSG00000253308",2.1143220189296,"Upregulated"
1.57426492875753,0.0497721700782714,"LINC00645",1.30301342350205,"Upregulated"
1.05708044377245,0.0103703939274697,"LINC00261",1.98420474628434,"Upregulated"
1.02783124277789,0.00196257429530839,"CDH3.AS1",2.70717389359839,"Upregulated"
1.78694036615427,0.0071324668950925,"ENSG00000261754",2.1467602354174,"Upregulated"
1.32877123795494,0.00311693323003897,"ENSG00000262539",2.50627250094299,"Upregulated"
1.60447356260569,0.0014918080097812,"BNIP3P30",2.8262870653739,"Upregulated"
1.26618337562292,0.028938592988359,"VN1R85P",1.53852258836026,"Upregulated"
1.69474114992388,0.00685602764866484,"ENSG00000271234",2.16392743967903,"Upregulated"
1.22217845375375,0.000536224086719227,"LOC115308161",3.27065368178488,"Upregulated"
2.44042476476609,7.38303292725903e-05,"LOC780529",4.13176519468264,"Upregulated"
3.47772997403279,0.00148405479882524,"CD24",2.82855006240738,"Upregulated"
1.38065586841123,0.00997461001972161,"ENSG00000273367",2.00110407504911,"Upregulated"
2.3657859655303,1.71246786396595e-05,"ENSG00000273906",4.76637756969435,"Upregulated"
3.35319965123807,0.000858666159857292,"ENSG00000286478",3.06617565236486,"Upregulated"
1.00887882387169,0.0010624066528696,"ENSG00000287209",2.97370921838315,"Upregulated"
1.74240553848326,0.00127795939081723,"LOC124903640",2.89348294635305,"Upregulated"
1.02585660338899,0.00177932799993467,"ENSG00000287552",2.74974398703049,"Upregulated"
2.67948144887508,7.409661618245e-06,"ENSG00000287867",5.13020162477162,"Upregulated"
1.4986376614027,0.00156271708716711,"ENSG00000288041",2.80611963912951,"Upregulated"
